"geneName","teName","coef","pvalue","padj","pair","kznf_age","te_age","link_age","family_id","class_id"
"ZNF337","L1M4c",-0.773099279765502,2.14454124170532e-07,1.72822039388814e-05,"L1M4c:ZNF337","old","old","old","L1","LINE"
"ZNF331","MLT1G3",0.776600893385729,1.74218530247454e-07,1.50325703242089e-05,"MLT1G3:ZNF331","old","old","old","ERVL-MaLR","LTR"
"ZNF331","MLT1G",0.723287190884978,2.91484364420749e-06,9.8315212487456e-05,"MLT1G:ZNF331","old","old","old","ERVL-MaLR","LTR"
"ZNF304","LTR8A",0.766606266441957,3.12280903753289e-07,2.23346402172476e-05,"LTR8A:ZNF304","old","young","young","ERV1","LTR"
"ZNF304","MLT1F1",0.809225336424832,2.06535396873139e-08,3.71130862442989e-06,"MLT1F1:ZNF304","old","old","old","ERVL-MaLR","LTR"
"ZNF304","MLT1F2",0.776036180570555,1.80200404894783e-07,1.53409847714632e-05,"MLT1F2:ZNF304","old","old","old","ERVL-MaLR","LTR"
"ZNF304","MLT1F",0.750951276113361,7.37166270886898e-07,3.90322768565982e-05,"MLT1F:ZNF304","old","old","old","ERVL-MaLR","LTR"
"ZNF304","MLT1G3",0.807218414840336,2.38187744144467e-08,4.04992735645083e-06,"MLT1G3:ZNF304","old","old","old","ERVL-MaLR","LTR"
"ZNF304","MLT1H1",0.695833801796678,9.79927180507158e-06,0.0002245071706074,"MLT1H1:ZNF304","old","old","old","ERVL-MaLR","LTR"
"ZNF776","MSTA",0.715811860873244,4.11126194882975e-06,0.00012362450003454,"MSTA:ZNF776","old","young","young","ERVL-MaLR","LTR"
"ZNF776","MSTB1",0.741691432389115,1.19037651280492e-06,5.35552623075856e-05,"MSTB1:ZNF776","old","old","old","ERVL-MaLR","LTR"
"ZNF714","LTR13",-0.700920078452537,7.90749226445113e-06,0.00019447649457021,"LTR13:ZNF714","old","young","young","ERVK","LTR"
"ZNF714","LTR50",-0.70387250257246,6.96764126723536e-06,0.00017827311389452,"LTR50:ZNF714","old","old","old","ERVL","LTR"
"ZNF382","L1M4c",-0.723200909854152,2.92661998411774e-06,9.86089426204169e-05,"L1M4c:ZNF382","old","old","old","L1","LINE"
"ZNF382","L1MCa",-0.758834003486513,4.82190382909548e-07,2.96738838776704e-05,"L1MCa:ZNF382","old","old","old","L1","LINE"
"ZNF382","L1MDa",-0.740532150505613,1.26219935920864e-06,5.5628688449457e-05,"L1MDa:ZNF382","old","old","old","L1","LINE"
"ZNF382","MamGypLTR3",0.69046009323823,1.2234593637999e-05,0.00026247692117923,"MamGypLTR3:ZNF382","old","old","old","Gypsy","LTR"
"ZNF180","Charlie8",0.789431832241505,7.87394811883232e-08,8.91904373086041e-06,"Charlie8:ZNF180","old","old","old","hAT-Charlie","DNA"
"ZNF180","MER102c",0.757242035362794,5.26020750612234e-07,3.14763660704497e-05,"MER102c:ZNF180","old","old","old","hAT-Charlie","DNA"
"ZNF519","AluSg7",-0.818327658425431,1.0587133804014e-08,2.42543564994044e-06,"AluSg7:ZNF519","old","old","old","Alu","SINE"
"ZNF519","AluY",-0.827281494715312,5.28702733790408e-09,1.56543602794435e-06,"AluY:ZNF519","old","old","old","Alu","SINE"
"ZNF519","AluYc",-0.809771194006236,1.98621647802558e-08,3.62288758961093e-06,"AluYc:ZNF519","old","old","old","Alu","SINE"
"ZNF445","MER21A",0.840587867807465,1.74530819932287e-09,8.17549910755259e-07,"MER21A:ZNF445","old","old","old","ERVL","LTR"
"ZNF197","L1MCa",-0.774444142954496,1.9809080011733e-07,1.63823636181209e-05,"L1MCa:ZNF197","old","old","old","L1","LINE"
"ZFP69B","LTR67B",0.794533281143839,5.65495568397465e-08,7.15389719813321e-06,"LTR67B:ZFP69B","old","old","old","ERVL","LTR"
"ZFP69B","MLT1A0",0.761082915147876,4.25942308909846e-07,2.73531179155757e-05,"MLT1A0:ZFP69B","old","old","old","ERVL-MaLR","LTR"
"ZFP69B","MLT1J",0.778085609054116,1.59347701794054e-07,1.42998967834187e-05,"MLT1J:ZFP69B","old","old","old","ERVL-MaLR","LTR"
"ZFP69B","MSTA-int",0.777624794569762,1.63833858360626e-07,1.45183906036655e-05,"MSTA-int:ZFP69B","old","old","old","ERVL-MaLR","LTR"
"ZFP69B","THE1B-int",0.744482591125534,1.03246555454884e-06,4.89392554305605e-05,"THE1B-int:ZFP69B","old","old","old","ERVL-MaLR","LTR"
"ZNF33A","L1M1",-0.812815901274305,1.59360770429461e-08,3.12554801672887e-06,"L1M1:ZNF33A","old","old","old","L1","LINE"
