"geneName","teName","pvalue","coef","padj","pair","kznf_age","te_age","link_age","family_id","class_id"
"ZNF506","FLAM_C",4.82933330485608e-05,0.743284939864066,0.00507855731872786,"FLAM_C:ZNF506","old","old","old","Alu","SINE"
"ZNF506","HERVIP10FH-int",5.7251171008667e-05,0.73851321033304,0.00552756699654868,"HERVIP10FH-int:ZNF506","old","old","old","ERV1","LTR"
"ZNF506","LTR10F",0.000131695141933745,0.713613449770991,0.00846056244665942,"LTR10F:ZNF506","old","young","young","ERV1","LTR"
"ZNF506","MER61D",4.2304702185686e-05,0.746928492101814,0.0047302483685411,"MER61D:ZNF506","old","young","young","ERV1","LTR"
"ZNF211","L1MA6",8.67565132967885e-05,-0.72641888770393,0.00681751251046611,"L1MA6:ZNF211","old","old","old","L1","LINE"
"ZNF211","MER34A",6.98128913018919e-05,0.732820318545966,0.00609853254050171,"MER34A:ZNF211","old","old","old","ERV1","LTR"
"ZNF133","MER11A",9.5505653674262e-05,0.723531492333619,0.00717428563640797,"MER11A:ZNF133","old","young","young","ERVK","LTR"
"ZNF182","AluJb",2.68740611437834e-05,0.758973495593727,0.00366264579054026,"AluJb:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluJo",5.25727855641325e-05,0.740916568284809,0.00528232776278314,"AluJo:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluJr4",3.63727815751765e-05,0.75101388613666,0.00435868426194007,"AluJr4:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluJr",2.78668584530547e-05,0.758034939509439,0.0037412555618806,"AluJr:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluSc",0.00015385290215953,0.708663466744175,0.00920084518119521,"AluSc:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluSg4",0.00016367789462194,0.706664966319637,0.00950228640517568,"AluSg4:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluSg7",0.000164707875270364,0.706461544887001,0.00953667697698019,"AluSg7:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluSg",1.69256832336767e-05,0.770579959329969,0.00290761139193575,"AluSg:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluSp",7.08540856208073e-05,0.73238974621052,0.00614756070524335,"AluSp:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluSq2",5.86358353271878e-05,0.737834866920395,0.0055900270383158,"AluSq2:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluSq",4.5958892246085e-05,0.744655479186887,0.00495462072767644,"AluSq:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluSx1",7.14769495346386e-05,0.732134804885399,0.00617919706045875,"AluSx1:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluSx3",7.595353060723e-05,0.730357574112803,0.00636640072695164,"AluSx3:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluSx4",4.11137501378345e-05,0.747706541079147,0.004652899491052,"AluSx4:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluSx",7.83910988884685e-05,0.729427992431509,0.00647498868870025,"AluSx:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluSz6",4.25816408172932e-05,0.746750321828911,0.00473976010951165,"AluSz6:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluSz",4.85012255688225e-05,0.743165718817461,0.00509218696136053,"AluSz:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluY",0.000128176602821784,0.714465304677497,0.00836587068698256,"AluY:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluYa8",0.000130338185887624,0.713939600517768,0.00841335119083546,"AluYa8:ZNF182","old","young","young","Alu","SINE"
"ZNF182","AluYc",2.44120000090256e-05,0.761439519995046,0.00350171965289151,"AluYc:ZNF182","old","old","old","Alu","SINE"
"ZNF182","AluYf1",0.00010906068735575,0.719484281284129,0.00772425724249692,"AluYf1:ZNF182","old","young","young",NA,NA
"ZNF182","AluYk3",0.000126229190316319,0.714945574272249,0.00831684190874374,"AluYk3:ZNF182","old","young","young",NA,NA
"ZNF182","FLAM_C",4.48865873468863e-05,0.745305568220396,0.00489612308289486,"FLAM_C:ZNF182","old","old","old","Alu","SINE"
"ZNF182","FRAM",0.000100400602152549,0.722015354163916,0.0073898234531873,"FRAM:ZNF182","old","old","old","Alu","SINE"
"ZNF182","L1M4c",8.83997723794779e-05,0.725857768211638,0.00689028110879393,"L1M4c:ZNF182","old","old","old","L1","LINE"
"ZNF182","L1MEd",0.000122071531772149,0.71599291716388,0.00817702441994835,"L1MEd:ZNF182","old","old","old","L1","LINE"
"ZNF562","LTR10C",5.57978466391599e-05,0.739240806645331,0.00544501334133382,"LTR10C:ZNF562","old","young","young","ERV1","LTR"
"ZNF562","LTR10F",0.000141895325607839,0.71125131464905,0.00881121625099586,"LTR10F:ZNF562","old","young","young","ERV1","LTR"
"ZNF519","Alu",1.84370791682223e-05,-0.768481348728564,0.00303315030426357,"Alu:ZNF519","old","old","old",NA,NA
"ZNF519","AluSg7",0.000160887497319112,-0.70722171539309,0.00942913609097468,"AluSg7:ZNF519","old","old","old","Alu","SINE"
"ZNF519","AluSg",0.000146329273306136,-0.71027034114788,0.00896483895131867,"AluSg:ZNF519","old","old","old","Alu","SINE"
"ZNF519","AluSq2",0.000148554932154882,-0.709787645918806,0.00903080290674012,"AluSq2:ZNF519","old","old","old","Alu","SINE"
"ZNF519","AluSx1",0.000151999983442909,-0.709052755216338,0.00914220422154707,"AluSx1:ZNF519","old","old","old","Alu","SINE"
"ZNF519","AluSx",0.000125812867811511,-0.715049083885203,0.00830549849219707,"AluSx:ZNF519","old","old","old","Alu","SINE"
"ZNF519","AluSz6",0.000116720046528665,-0.717387718884619,0.00801080787685526,"AluSz6:ZNF519","old","old","old","Alu","SINE"
"ZNF519","AluSz",0.000118226283766173,-0.716989594253831,0.00806298126162358,"AluSz:ZNF519","old","old","old","Alu","SINE"
"ZNF519","AluYc",0.000173764563275979,-0.704718938210088,0.00983012369279027,"AluYc:ZNF519","old","old","old","Alu","SINE"
"ZNF708","MER57-int",5.5497158203548e-05,0.739393411225102,0.00542369426108879,"MER57-int:ZNF708","old","old","old","ERV1","LTR"
"ZNF197","HAL1",3.47364273913856e-05,0.752243612389539,0.00425115355186434,"HAL1:ZNF197","old","old","old","L1","LINE"
"ZNF567","L1MEg",3.08736657481615e-05,0.755361350949964,0.00396355068470501,"L1MEg:ZNF567","old","old","old","L1","LINE"
"ZNF786","AluYc",3.27400247626847e-05,-0.753814676699824,0.00412638854370513,"AluYc:ZNF786","old","old","old","Alu","SINE"
"ZNF786","LTR27D",9.34577003748944e-05,0.724186007819087,0.00708746751016177,"LTR27D:ZNF786","old","young","young",NA,NA
"ZNF675","MSTD-int",0.000133732454581941,0.713129224029166,0.00853479093792554,"MSTD-int:ZNF675","old","old","old","ERVL-MaLR","LTR"
"ZNF81","L1ME1",6.87985490484487e-06,-0.791417252143288,0.00185464313996988,"L1ME1:ZNF81","old","old","old","L1","LINE"
"ZNF26","L1MCa",7.74746176893149e-05,0.72977449704537,0.00644082254367132,"L1MCa:ZNF26","old","old","old","L1","LINE"
"ZNF587","LTR10C",2.92560221214248e-06,0.809272795751949,0.00120471897541099,"LTR10C:ZNF587","old","young","young","ERV1","LTR"
"ZNF587","LTR10F",1.7755021188871e-05,0.769408909945439,0.00296896894417785,"LTR10F:ZNF587","old","young","young","ERV1","LTR"
"ZNF224","FLAM_C",0.000122121012980087,0.715980271027378,0.00817702441994835,"FLAM_C:ZNF224","old","old","old","Alu","SINE"
