"repName","repClass","repFamily","species","clade","age"
"L1P5","LINE","L1",NA,NA,"old"
"AluY","SINE","Alu","Primates","Euarchontoglires.","old"
"L1MB5","LINE","L1",NA,NA,"old"
"AluSc","SINE","Alu","Primates","Euarchontoglires.","old"
"HAL1","LINE","L1","Eutheria","Theria <mammals>.","old"
"L2a","LINE","L2",NA,NA,"old"
"L1MA9","LINE","L1",NA,NA,"old"
"L2","LINE","L2","Theria <mammals>","Mammalia.","old"
"L1PA4","LINE","L1",NA,NA,"old"
"AluSg","SINE","Alu","Primates","Euarchontoglires.","old"
"MSTA-int","LTR","ERVL-MaLR",NA,NA,"old"
"L1PA8A","LINE","L1",NA,NA,"old"
"AluJb","SINE","Alu","Primates","Euarchontoglires.","old"
"L1MC4","LINE","L1",NA,NA,"old"
"HUERS-P3b-int","LTR","ERV1",NA,NA,"old"
"AluJo","SINE","Alu","Primates","Euarchontoglires.","old"
"L1MDb","LINE","L1",NA,NA,"old"
"AluSp","SINE","Alu","Primates","Euarchontoglires.","old"
"L1MC1","LINE","L1",NA,NA,"old"
"MLT1C","LTR","ERVL-MaLR","Boreoeutheria","Eutheria.","old"
"MER58A","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"AluSz","SINE","Alu","Primates","Euarchontoglires.","old"
"AluSx1","SINE","Alu","Primates","Euarchontoglires.","old"
"MER5A","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MIRb","SINE","MIR","Mammalia","Amniota.","old"
"MLT1K","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"LTR5_Hs","LTR","ERVK","Homo sapiens","Homo.","young"
"HERVIP10F-int","LTR","ERV1",NA,NA,"old"
"LTR16A1","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"L1M6","LINE","L1",NA,NA,"old"
"THE1D-int","LTR","ERVL-MaLR","Catarrhini","Simiiformes.","young"
"LTR48B","LTR","ERV1","Primates","Euarchontoglires.","old"
"L2c","LINE","L2",NA,NA,"old"
"L2b","LINE","L2",NA,NA,"old"
"L1PA2","LINE","L1",NA,NA,"old"
"AluSq","SINE","Alu","Primates","Euarchontoglires.","old"
"L1MC5a","LINE","L1",NA,NA,"old"
"ERVL-E-int","LTR","ERVL",NA,NA,"old"
"LTR81B","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"L1MA3","LINE","L1",NA,NA,"old"
"AluSc8","SINE","Alu","Primates","Euarchontoglires.","old"
"MIRc","SINE","MIR","Mammalia","Amniota.","old"
"LTR49-int","LTR","ERV1","Primates","Euarchontoglires.","old"
"LTR12","LTR","ERV1","Catarrhini","Simiiformes.","young"
"L1MD1","LINE","L1",NA,NA,"old"
"THE1B","LTR","ERVL-MaLR","Simiiformes","Haplorrhini.","young"
"AluSq2","SINE","Alu","Primates","Euarchontoglires.","old"
"MSTD","LTR","ERVL-MaLR","Primates","Euarchontoglires.","old"
"L1PB1","LINE","L1",NA,NA,"old"
"AluJr","SINE","Alu","Primates","Euarchontoglires.","old"
"L1MA4A","LINE","L1",NA,NA,"old"
"MER44C","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MLT2B1","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"AluSx","SINE","Alu","Primates","Euarchontoglires.","old"
"MER57-int","LTR","ERV1","Euarchontoglires","Boreoeutheria.","old"
"L1MB1","LINE","L1",NA,NA,"old"
"L3","LINE","CR1","Theria <mammals>","Mammalia.","old"
"L1PB3","LINE","L1",NA,NA,"old"
"L1MB8","LINE","L1",NA,NA,"old"
"L1MEf","LINE","L1",NA,NA,"old"
"L1PA13","LINE","L1",NA,NA,"old"
"L1ME1","LINE","L1",NA,NA,"old"
"LTR49","LTR","ERV1","Primates","Euarchontoglires.","old"
"L1PA17","LINE","L1",NA,NA,"old"
"MLT1A0","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"LTR32","LTR","ERVL","Simiiformes","Haplorrhini.","young"
"MER5A1","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MLT2C1","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MIR","SINE","MIR","Mammalia","Amniota.","old"
"L1ME4c","LINE","L1",NA,NA,"old"
"L1ME2","LINE","L1",NA,NA,"old"
"L1MA2","LINE","L1",NA,NA,"old"
"L1MB3","LINE","L1",NA,NA,"old"
"L1MC3","LINE","L1",NA,NA,"old"
"MER4B","LTR","ERV1","Primates","Euarchontoglires.","old"
"THE1A","LTR","ERVL-MaLR","Simiiformes","Haplorrhini.","young"
"LTR40A1","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR8B","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER11C","LTR","ERVK","Hominoidea","Catarrhini.","young"
"MLT1E1A","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
