"","geneName","teName","coef.x","pvalue","padj","pair","age","coef.y","sign"
"1","ZNF506","MSTA-int",-0.669854087876646,2.27525668337354e-06,1.40080405582795e-05,"MSTA-int:ZNF506","young",-0.457738890745247,"same"
"2","ZNF133","MER63A",0.646863947330274,6.48278772110538e-06,3.46201258978374e-05,"MER63A:ZNF133","old",-0.426029187882655,"opposite"
"3","ZNF337","L1M2c",-0.662692112090584,3.18318202156675e-06,1.86680054431387e-05,"L1M2c:ZNF337","young",-0.446140057424942,"same"
"4","ZNF337","L1M4c",-0.724648489974835,1.24421455945976e-07,1.18998079319954e-06,"L1M4c:ZNF337","young",-0.503743186933163,"same"
"5","ZNF331","MLT1H2",0.843409779603538,8.43707069700067e-12,5.02931362281396e-10,"MLT1H2:ZNF331","old",0.376360862869831,"same"
"6","ZIM3","MLT1J",-0.660971427677102,3.44604004664507e-06,1.99914502706012e-05,"MLT1J:ZIM3","old",-0.396850394490333,"same"
"7","ZIM3","THE1A",-0.648443474565619,6.04966631684435e-06,3.25797141112918e-05,"THE1A:ZIM3","young",-0.381531474029848,"same"
"8","ZNF333","LTR13_",0.720218060108367,1.61367056152962e-07,1.47945922793543e-06,"LTR13_:ZNF333","old",0.628712497193295,"same"
"9","ZNF333","MLT1G",0.867589154112947,4.34780556052008e-13,5.37141789246404e-11,"MLT1G:ZNF333","old",0.376172605122039,"same"
"10","ZNF333","MLT1H",0.879405912714364,8.19329859621194e-14,1.6568857251646e-11,"MLT1H:ZNF333","old",0.458871035852359,"same"
"11","ZNF333","MLT1J1",0.814004855456491,1.68987288538696e-10,5.284992903107e-09,"MLT1J1:ZNF333","old",0.380962680495348,"same"
"12","ZNF333","MLT1J2",0.8451440768358,6.93776245793718e-12,4.35748111287571e-10,"MLT1J2:ZNF333","old",0.481617256957274,"same"
"13","ZNF333","MLT1J",0.822934204547481,7.21102972447434e-11,2.7003507123487e-09,"MLT1J:ZNF333","old",0.475990690180496,"same"
"14","ZNF382","MamGypLTR3",0.817320186031633,1.23842989271478e-10,4.13139285567564e-09,"MamGypLTR3:ZNF382","old",0.383025737644924,"same"
"15","ZNF440","LTR5B",0.780799215109468,2.80304195082194e-09,5.09248257678695e-08,"LTR5B:ZNF440","young",0.447768114825101,"same"
"16","ZNF440","MER11A",0.686550184169718,1.00285782040774e-06,6.94761253375341e-06,"MER11A:ZNF440","young",0.470840351836162,"same"
"17","ZFP69B","HERV9-int",0.672090397347953,2.04495461405788e-06,1.27809663378618e-05,"HERV9-int:ZFP69B","old",0.548402453842682,"same"
"18","ZNF567","L1ME3A",0.654058162158664,4.71605348171758e-06,2.6267010280433e-05,"L1ME3A:ZNF567","old",0.440483595691033,"same"
"19","ZNF33A","MLT1G",0.783277672468592,2.31208554921266e-09,4.34600121757423e-08,"MLT1G:ZNF33A","old",-0.370579992141684,"opposite"
"20","ZNF136","L1ME3A",0.663139952755515,3.11786054258514e-06,1.83377765922023e-05,"L1ME3A:ZNF136","old",0.522205216090583,"same"
"21","ZNF136","L1P2",-0.715512908760532,2.11556285041452e-07,1.85851681951697e-06,"L1P2:ZNF136","old",0.405436130964339,"opposite"
"22","ZKSCAN5","MSTB1",0.782723845069533,2.4142623055027e-09,4.50537962865185e-08,"MSTB1:ZKSCAN5","old",-0.386427168268059,"opposite"
"23","ZNF33B","LTR67B",0.729134464469826,9.51349581670743e-08,9.48144015197329e-07,"LTR67B:ZNF33B","old",-0.422545342604979,"opposite"
"24","ZNF248","L1MB4",0.673086359211127,1.94946708774108e-06,1.22643166633999e-05,"L1MB4:ZNF248","old",0.592241091038887,"same"
"25","ZNF248","L1MB5",0.779285251457302,3.14909369781273e-09,5.59891204453656e-08,"L1MB5:ZNF248","old",0.368803347130825,"same"
"26","ZNF248","L1MB7",0.731036095719036,8.4769572715934e-08,8.59877382499776e-07,"L1MB7:ZNF248","old",0.476211432116621,"same"
"27","ZNF248","L1MB8",0.672934597359779,1.96374692625909e-06,1.23408364813258e-05,"L1MB8:ZNF248","old",0.554416961364109,"same"
"28","ZNF248","L1ME3A",0.705949255062069,3.60955806481298e-07,2.91548625629326e-06,"L1ME3A:ZNF248","old",0.581948898321616,"same"
"29","ZNF248","L1P1",-0.79394194573944,9.80401543139661e-10,2.16939501933307e-08,"L1P1:ZNF248","old",0.475126700770994,"opposite"
"30","ZNF425","LTR13_",0.674848776599483,1.7904930754339e-06,1.14028378449808e-05,"LTR13_:ZNF425","old",0.435512452835962,"same"
