"","geneName","teName","coef.x","pvalue","padj","pair","age","coef.y","sign"
"1","ZNF506","AluJb",0.650970465246347,5.4116383930996e-06,2.95963465288711e-05,"AluJb:ZNF506","young",0.508988474726708,"same"
"2","ZNF506","LTR13",-0.655290229590136,4.46219052198262e-06,2.50397877265456e-05,"LTR13:ZNF506","young",-0.523485544545174,"same"
"3","ZNF506","MER9a3",-0.594463314841699,5.23899440532407e-05,0.000214372959136496,"MER9a3:ZNF506","young",-0.450908606541307,"same"
"4","ZNF141","LTR13",-0.577810139668176,9.45239642227398e-05,0.000359478955496546,"LTR13:ZNF141","young",-0.450145582110599,"same"
"5","ZNF141","MER11D",-0.569907829677007,0.000123699917422599,0.000454870674064507,"MER11D:ZNF141","young",-0.388503240367723,"same"
"6","ZNF304","LTR8A",0.76911501876725,6.72775541192921e-09,1.04561810991523e-07,"LTR8A:ZNF304","young",0.437315307951986,"same"
"7","ZNF304","MLT1G3",0.809120477792797,2.64197888247382e-10,7.55857268749648e-09,"MLT1G3:ZNF304","old",0.403958574138728,"same"
"8","ZIM3","MLT1J",-0.660971427677102,3.44604004664507e-06,1.99914502706012e-05,"MLT1J:ZIM3","old",-0.464238067934303,"same"
"9","ZNF776","MSTB1",0.840737113910042,1.13541345912533e-11,6.31149569985922e-10,"MSTB1:ZNF776","young",0.505305298990291,"same"
"10","ZNF776","MSTB",0.758604390830573,1.4175624002364e-08,1.93991821202343e-07,"MSTB:ZNF776","young",0.448674232744747,"same"
"11","ZNF333","LTR13_",0.720218060108367,1.61367056152962e-07,1.47945922793543e-06,"LTR13_:ZNF333","old",0.556683232848003,"same"
"12","ZNF333","MLT1J2",0.8451440768358,6.93776245793718e-12,4.35748111287571e-10,"MLT1J2:ZNF333","old",-0.443932012322105,"opposite"
"13","ZNF382","L1HS",-0.803535864426246,4.33673527332943e-10,1.12156706155846e-08,"L1HS:ZNF382","old",-0.394979772370788,"same"
"14","ZNF382","L1M1",-0.732296066634696,7.84899220597583e-08,8.06076424256198e-07,"L1M1:ZNF382","old",-0.431644900633904,"same"
"15","ZNF382","L1M4c",-0.792370010182391,1.11603111311054e-09,2.4100005787858e-08,"L1M4c:ZNF382","old",-0.429851074941165,"same"
"16","ZNF382","L1MCa",-0.763970781257676,9.73548962723683e-09,1.42065704068999e-07,"L1MCa:ZNF382","old",-0.427198774988121,"same"
"17","ZNF382","L1MDa",-0.769971789203052,6.32037259587582e-09,9.93353531236212e-08,"L1MDa:ZNF382","old",-0.474754750832885,"same"
"18","ZNF528","THE1B-int",0.7406761763152,4.65237798281181e-08,5.20339652096864e-07,"THE1B-int:ZNF528","young",-0.373504048821042,"opposite"
"19","ZNF584","MLT1F-int",0.762264316470336,1.09826947691042e-08,1.57156675632377e-07,"MLT1F-int:ZNF584","old",-0.489382174034385,"opposite"
"20","ZIK1","L1MC4a",0.653151469480987,4.91127253451623e-06,2.72093749803965e-05,"L1MC4a:ZIK1","old",-0.392948568286433,"opposite"
"21","ZNF519","AluSc8",-0.720849164177623,1.55546498258476e-07,1.43467628869831e-06,"AluSc8:ZNF519","young",0.387326682409283,"opposite"
"22","ZNF519","AluSg4",-0.644744123586037,7.10880026471896e-06,3.74910503471483e-05,"AluSg4:ZNF519","young",0.377873982056223,"opposite"
"23","ZNF519","AluSp",-0.641568959477232,8.15068294358507e-06,4.22342426194501e-05,"AluSp:ZNF519","young",0.403827785152246,"opposite"
"24","ZNF519","AluSx1",-0.63723886935051,9.79756500481999e-06,4.96262095119255e-05,"AluSx1:ZNF519","young",0.385383322976137,"opposite"
"25","ZNF169","MER31B",0.622946141989629,1.76371059349345e-05,8.27114464766702e-05,"MER31B:ZNF169","old",0.364459484723946,"same"
"26","ZNF169","MER89",0.796963808383725,7.61829430198138e-10,1.77203956958969e-08,"MER89:ZNF169","old",0.389115705232203,"same"
"27","ZNF320","LTR5B",0.754621235053614,1.86199460024133e-08,2.43790614041782e-07,"LTR5B:ZNF320","young",-0.501201559901165,"opposite"
"28","ZNF320","MER9a3",0.691893094894352,7.62819898658854e-07,5.5015325255346e-06,"MER9a3:ZNF320","young",-0.399237862271256,"opposite"
"29","ZNF445","MER21A",0.875409790408154,1.46807739241714e-13,2.45496063676816e-11,"MER21A:ZNF445","old",0.505187217920386,"same"
"30","ZFP69B","HERV9-int",0.672090397347953,2.04495461405788e-06,1.27809663378618e-05,"HERV9-int:ZFP69B","old",0.563474973748209,"same"
"31","ZNF567","L1ME3A",0.654058162158664,4.71605348171758e-06,2.6267010280433e-05,"L1ME3A:ZNF567","old",-0.391843336217792,"opposite"
