"teName","link","coef","age"
"AluJb",1,"positive","old"
"Charlie8",1,"positive","old"
"ERVL-B4-int",2,"positive","old"
"ERVL-E-int",1,"positive","old"
"HERV9-int",1,"positive","old"
"HERVH-int",1,"positive","old"
"HERVK-int",3,"positive","old"
"HERVK14-int",2,"positive","old"
"HERVK3-int",2,"positive","old"
"HERVK9-int",1,"positive","old"
"HUERS-P3-int",1,"positive","old"
"HUERS-P3b-int",1,"positive","old"
"L1M1",1,"positive","old"
"L1M2",1,"positive","old"
"L1M3c",1,"positive","old"
"L1M3f",1,"positive","old"
"L1MA4",1,"positive","old"
"L1MB4",1,"positive","old"
"L1MB5",2,"positive","old"
"L1MB7",5,"positive","old"
"L1MB8",3,"positive","old"
"L1MC4a",1,"positive","old"
"L1MC5",1,"positive","old"
"L1MCc",1,"positive","old"
"L1ME3",1,"positive","old"
"L1ME3A",6,"positive","old"
"L1PA15-16",1,"positive","old"
"L2a",3,"positive","old"
"L2b",1,"positive","old"
"L2c",1,"positive","old"
"LOR1a",1,"positive","old"
"LTR10B1",3,"positive","young"
"LTR10C",1,"positive","young"
"LTR12C",6,"positive","young"
"LTR12D",1,"positive","young"
"LTR12E",1,"positive","young"
"LTR13",6,"positive","young"
"LTR13_",4,"positive","old"
"LTR14",1,"positive","young"
"LTR14B",1,"positive","young"
"LTR16B",1,"positive","old"
"LTR16B2",1,"positive","old"
"LTR1C",1,"positive","young"
"LTR1D",1,"positive","young"
"LTR25-int",2,"positive","young"
"LTR26",1,"positive","old"
"LTR27B",1,"positive","young"
"LTR41",1,"positive","old"
"LTR41B",3,"positive","old"
"LTR50",1,"positive","old"
"LTR55",2,"positive","old"
"LTR5B",3,"positive","young"
"LTR5_Hs",5,"positive","young"
"LTR67B",2,"positive","old"
"LTR71B",1,"positive","young"
"LTR77",1,"positive","old"
"LTR7B",1,"positive","young"
"LTR8A",1,"positive","young"
"LTR9",1,"positive","young"
"MADE1",1,"positive","young"
"MER102c",1,"positive","old"
"MER11A",5,"positive","young"
"MER11B",1,"positive","young"
"MER11C",1,"positive","young"
"MER11D",1,"positive","young"
"MER1A",2,"positive","young"
"MER21A",2,"positive","old"
"MER21C",2,"positive","old"
"MER31B",2,"positive","old"
"MER34C2",1,"positive","old"
"MER49",1,"positive","old"
"MER52A",1,"positive","old"
"MER52C",2,"positive","old"
"MER54A",3,"positive","old"
"MER57C1",1,"positive","old"
"MER61E",1,"positive","young"
"MER63A",1,"positive","old"
"MER66B",2,"positive","young"
"MER66C",1,"positive","young"
"MER68",1,"positive","old"
"MER72",1,"positive","young"
"MER8",1,"positive","old"
"MER89",2,"positive","old"
"MER9a3",4,"positive","young"
"MLT1A",2,"positive","old"
"MLT1A0",2,"positive","old"
"MLT1A1",1,"positive","old"
"MLT1B",2,"positive","old"
"MLT1D",1,"positive","old"
"MLT1E1",2,"positive","old"
"MLT1E1A",1,"positive","old"
"MLT1E2",1,"positive","old"
"MLT1F",2,"positive","old"
"MLT1F-int",1,"positive","old"
"MLT1F1",2,"positive","old"
"MLT1F1-int",1,"positive","old"
"MLT1F2",2,"positive","old"
"MLT1G",3,"positive","old"
"MLT1G1",1,"positive","old"
"MLT1G3",2,"positive","old"
