"geneName","teName","coef","pair","group"
"ZNF506","AluJr4",0.586097725950869,"AluJr4:ZNF506","positive"
"ZNF506","HUERS-P3-int",-0.659701833418538,"HUERS-P3-int:ZNF506","negative"
"ZNF506","HUERS-P3b-int",-0.567787630652975,"HUERS-P3b-int:ZNF506","negative"
"ZNF506","LTR10B1",-0.499386267700184,"LTR10B1:ZNF506","negative"
"ZNF506","LTR12C",-0.537016336193792,"LTR12C:ZNF506","negative"
"ZNF506","LTR13",-0.655290229590136,"LTR13:ZNF506","negative"
"ZNF506","LTR25-int",-0.611902602374087,"LTR25-int:ZNF506","negative"
"ZNF506","LTR41",-0.568626166906794,"LTR41:ZNF506","negative"
"ZNF506","LTR8",-0.525568830627979,"LTR8:ZNF506","negative"
"ZNF506","MER52C",-0.450490054937328,"MER52C:ZNF506","negative"
"ZNF506","MER61D",-0.458959985740581,"MER61D:ZNF506","negative"
"ZNF506","MER66B",-0.563354532964593,"MER66B:ZNF506","negative"
"ZNF506","MER9a3",-0.594463314841699,"MER9a3:ZNF506","negative"
"ZNF506","MLT1A",-0.637865813047854,"MLT1A:ZNF506","negative"
"ZNF506","MLT1G1",-0.605698855252342,"MLT1G1:ZNF506","negative"
"ZNF506","MST-int",-0.585521492086073,"MST-int:ZNF506","negative"
"ZNF506","MSTA-int",-0.669854087876646,"MSTA-int:ZNF506","negative"
"ZNF506","MamGypLTR3",-0.456133438026896,"MamGypLTR3:ZNF506","negative"
"ZNF506","THE1A-int",-0.62240751305196,"THE1A-int:ZNF506","negative"
"ZNF506","THE1B-int",-0.621083845671323,"THE1B-int:ZNF506","negative"
"ZNF506","THE1C-int",-0.587768195908576,"THE1C-int:ZNF506","negative"
"ZNF506","THE1D-int",-0.553150175643731,"THE1D-int:ZNF506","negative"
"ZNF671","Harlequin-int",0.548755665731103,"Harlequin-int:ZNF671","positive"
"ZNF671","LTR13_",0.729115206955696,"LTR13_:ZNF671","positive"
"ZNF671","MLT2B3",0.749404261491951,"MLT2B3:ZNF671","positive"
"ZNF264","MLT1A",0.491192933711771,"MLT1A:ZNF264","positive"
"ZNF264","MLT1B",0.515552314070519,"MLT1B:ZNF264","positive"
"ZNF684","LTR33B",0.482229151113929,"LTR33B:ZNF684","positive"
"ZNF684","MER11B",0.548815932483321,"MER11B:ZNF684","positive"
"ZNF684","MER11C",0.493979965943803,"MER11C:ZNF684","positive"
"ZNF684","MLT1H",0.492476453969394,"MLT1H:ZNF684","positive"
"ZNF430","THE1C",-0.70691639581902,"THE1C:ZNF430","negative"
"ZNF549","Charlie3",0.507320839599875,"Charlie3:ZNF549","positive"
"ZNF549","MER1A",0.829897690112325,"MER1A:ZNF549","positive"
"ZNF549","MER57A1",-0.465364662354275,"MER57A1:ZNF549","negative"
"ZNF549","MER57C1",0.657601374839608,"MER57C1:ZNF549","positive"
"ZNF549","MER57E1",0.624398270858818,"MER57E1:ZNF549","positive"
"ZNF211","L1M3",-0.583573574795152,"L1M3:ZNF211","negative"
"ZNF211","L1MA6",-0.557586314982851,"L1MA6:ZNF211","negative"
"ZNF211","L1MCa",-0.676253603128438,"L1MCa:ZNF211","negative"
"ZNF211","L1MEc",-0.685070603769083,"L1MEc:ZNF211","negative"
"ZNF211","L1PA8A",-0.563494112805771,"L1PA8A:ZNF211","negative"
"ZNF211","L1PB1",-0.608580877186718,"L1PB1:ZNF211","negative"
"ZNF211","L1PB2",-0.525278308336571,"L1PB2:ZNF211","negative"
"ZNF45","L1MEb",-0.568804981550651,"L1MEb:ZNF45","negative"
"ZNF45","L1MEc",-0.666653940962833,"L1MEc:ZNF45","negative"
"ZNF45","L1MEf",-0.644770952814254,"L1MEf:ZNF45","negative"
"ZNF133","HAL1",-0.475155581141808,"HAL1:ZNF133","negative"
"ZNF133","HAL1b",-0.522117374582693,"HAL1b:ZNF133","negative"
"ZNF133","HERVK22-int",0.606067262346608,"HERVK22-int:ZNF133","positive"
"ZNF133","L1M4c",-0.537621189441599,"L1M4c:ZNF133","negative"
"ZNF133","L1M7",-0.504750143420243,"L1M7:ZNF133","negative"
"ZNF133","L1MB7",0.569888971245045,"L1MB7:ZNF133","positive"
"ZNF133","L1MC4",0.526700714582577,"L1MC4:ZNF133","positive"
"ZNF133","L1MCa",-0.532299083898747,"L1MCa:ZNF133","negative"
"ZNF133","L1MDa",-0.493444191322853,"L1MDa:ZNF133","negative"
"ZNF133","L1ME3A",0.488815954339118,"L1ME3A:ZNF133","positive"
"ZNF133","L1MEb",-0.643246050674778,"L1MEb:ZNF133","negative"
"ZNF133","L1MEc",-0.521957759071833,"L1MEc:ZNF133","negative"
"ZNF133","L1MEf",-0.527849627433132,"L1MEf:ZNF133","negative"
"ZNF133","L1MEg2",0.594876351706393,"L1MEg2:ZNF133","positive"
"ZNF133","L1P4",-0.447813246354976,"L1P4:ZNF133","negative"
"ZNF133","L1PB1",-0.468458643449526,"L1PB1:ZNF133","negative"
"ZNF133","L1PBa",-0.47403070675312,"L1PBa:ZNF133","negative"
"ZNF133","LTR10B1",0.547896814670844,"LTR10B1:ZNF133","positive"
"ZNF133","LTR7Y",0.636485151912537,"LTR7Y:ZNF133","positive"
