"geneName","teName","coef","pvalue","padj","pair","age"
"ZNF337","L1M4c",-0.773099279765502,2.14454124170532e-07,1.72822039388814e-05,"L1M4c:ZNF337","young"
"ZNF304","LTR8A",0.766606266441957,3.12280903753289e-07,2.23346402172476e-05,"LTR8A:ZNF304","young"
"ZNF304","MLT1F2",0.776036180570555,1.80200404894783e-07,1.53409847714632e-05,"MLT1F2:ZNF304","old"
"ZNF304","MLT1F",0.750951276113361,7.37166270886898e-07,3.90322768565982e-05,"MLT1F:ZNF304","old"
"ZNF304","MLT1G3",0.807218414840336,2.38187744144467e-08,4.04992735645083e-06,"MLT1G3:ZNF304","old"
"ZNF714","LTR13",-0.700920078452537,7.90749226445113e-06,0.000194476494570219,"LTR13:ZNF714","young"
"ZNF714","LTR50",-0.70387250257246,6.96764126723536e-06,0.00017827311389452,"LTR50:ZNF714","young"
"ZNF382","MamGypLTR3",0.69046009323823,1.2234593637999e-05,0.00026247692117923,"MamGypLTR3:ZNF382","old"
"ZNF519","AluSg7",-0.818327658425431,1.0587133804014e-08,2.42543564994044e-06,"AluSg7:ZNF519","young"
"ZNF519","AluY",-0.827281494715312,5.28702733790408e-09,1.56543602794435e-06,"AluY:ZNF519","young"
"ZNF519","AluYc",-0.809771194006236,1.98621647802558e-08,3.62288758961093e-06,"AluYc:ZNF519","young"
"ZFP69B","LTR67B",0.794533281143839,5.65495568397465e-08,7.15389719813321e-06,"LTR67B:ZFP69B","old"
"ZFP69B","MLT1J",0.778085609054116,1.59347701794054e-07,1.42998967834187e-05,"MLT1J:ZFP69B","old"
"ZNF33A","L1M1",-0.812815901274305,1.59360770429461e-08,3.12554801672887e-06,"L1M1:ZNF33A","old"
"ZNF33A","L1MA2",-0.752730741370734,6.70724888010725e-07,3.6808856367718e-05,"L1MA2:ZNF33A","old"
"ZNF33A","L1MEc",-0.756387723063094,5.51013279614669e-07,3.24647240001007e-05,"L1MEc:ZNF33A","old"
"ZNF441","AluY",-0.772386129368239,2.23624284834326e-07,1.77703789621866e-05,"AluY:ZNF441","young"
"ZNF441","AluYc",-0.766177396975741,3.19994670524064e-07,2.26825175168105e-05,"AluYc:ZNF441","young"
"ZNF441","MER66B",0.799168685973153,4.15228867245907e-08,5.89905709596621e-06,"MER66B:ZNF441","young"
"ZNF786","AluYc",-0.846378012328013,1.04370944219818e-09,6.03869504820811e-07,"AluYc:ZNF786","old"
"ZNF786","HERVK3-int",0.827850634880259,5.05202513861028e-09,1.51662997524209e-06,"HERVK3-int:ZNF786","old"
"ZNF786","THE1B-int",0.858722453217847,3.23973761528532e-10,3.19546063975409e-07,"THE1B-int:ZNF786","old"
"ZNF675","MSTA-int",0.828442790142227,4.81775667796254e-09,1.47259842603856e-06,"MSTA-int:ZNF675","young"
"ZNF675","THE1A-int",0.853665514387502,5.2993485581671e-10,4.01134671852425e-07,"THE1A-int:ZNF675","young"
"ZNF675","THE1B-int",0.844707751267422,1.21315643943151e-09,6.57896041572999e-07,"THE1B-int:ZNF675","young"
"ZNF675","THE1C-int",0.782725994814639,1.20038351298297e-07,1.17439654886097e-05,"THE1C-int:ZNF675","young"
"ZNF675","THE1D-int",0.865390716802239,1.64352641420454e-10,2.15157277092757e-07,"THE1D-int:ZNF675","young"
"ZNF84","L1P1",-0.762364149473374,3.9664385200848e-07,2.61608579322524e-05,"L1P1:ZNF84","old"
"ZNF84","L1P2",-0.820895135019481,8.70977092816621e-09,2.13113344639082e-06,"L1P2:ZNF84","old"
"ZNF334","ERVL-B4-int",0.72637143291487,2.52112239621798e-06,8.92760666544898e-05,"ERVL-B4-int:ZNF334","old"
"ZNF736","HUERS-P3b-int",0.78690267524235,9.24745704706994e-08,9.8324578084032e-06,"HUERS-P3b-int:ZNF736","young"
"ZNF736","MSTA-int",0.691600643189766,1.16761670423018e-05,0.000254008256769856,"MSTA-int:ZNF736","young"
"ZNF432","HERVK3-int",-0.701985788489632,7.55576408435788e-06,0.000188584991338092,"HERVK3-int:ZNF432","old"
"ZNF10","MLT1B",0.804359673350885,2.91005969035631e-08,4.61950524372762e-06,"MLT1B:ZNF10","old"
"ZNF2","LTR12C",0.728631197220644,2.26404748155101e-06,8.28628234285514e-05,"LTR12C:ZNF2","young"
