"geneName","teClass","teFamily","teName","pval","pair"
"ZNF157","LTR","ERV1","LTR10B1",1.59601238242,"LTR10B1:ZNF157"
"ZNF157","LTR","ERV1","LTR28",1.42657816218,"LTR28:ZNF157"
"ZNF157","LTR","ERVL","ERVL-B4-int",76.499977063,"ERVL-B4-int:ZNF157"
"ZNF157","LTR","ERVL","ERVL-E-int",98.1428808507,"ERVL-E-int:ZNF157"
"ZNF157","LTR","ERVL","HERVL-int",288.334449229,"HERVL-int:ZNF157"
"ZNF157","LTR","ERVL-MaLR","MLT1B",17.5210411847,"MLT1B:ZNF157"
"ZNF485","LTR","ERVL-MaLR","MSTB1",1.84787695025,"MSTB1:ZNF485"
"ZNF485","LTR","ERV1","MER4D",1.53137426864,"MER4D:ZNF485"
"ZNF485","LTR","ERVL-MaLR","THE1A",1.66940160205,"THE1A:ZNF485"
"ZNF485","LTR","ERV1","HERVP71A-int",7.74286948416,"HERVP71A-int:ZNF485"
"ZNF485","LINE","L1","L1PA13",16.2607874483,"L1PA13:ZNF485"
"ZNF485","LINE","L1","L1PA14",1.78772257227,"L1PA14:ZNF485"
"ZNF485","LINE","L1","L1PA15",3.96639028903,"L1PA15:ZNF485"
"ZNF485","LINE","L1","L1PREC2",2.02073308838,"L1PREC2:ZNF485"
"ZNF485","LINE","L1","L1MC1",30.5697754378,"L1MC1:ZNF485"
"ZNF485","LINE","L1","L1PA12",1.38891440814,"L1PA12:ZNF485"
"ZNF485","DNA","TcMar-Tigger","Tigger1",2.18307920686,"Tigger1:ZNF485"
"ZNF485","LINE","L1","L1MC4a",1.85489138541,"L1MC4a:ZNF485"
"ZNF485","LTR","ERV1","HERVIP10FH-int",3.40022398941,"HERVIP10FH-int:ZNF485"
"ZNF485","LTR","ERVK","HERVK14-int",2.36494883035,"HERVK14-int:ZNF485"
"ZNF485","LINE","L2","L2c",2.70224779973,"L2c:ZNF485"
"ZNF485","LTR","ERVL","ERVL-B4-int",43.8624368773,"ERVL-B4-int:ZNF485"
"ZNF485","LTR","ERVL","ERVL-E-int",24.4488855292,"ERVL-E-int:ZNF485"
"ZNF485","LTR","ERVL","HERVL-int",319.942227513,"HERVL-int:ZNF485"
"ZNF485","DNA","hAT-Charlie","MER20",154.663740944,"MER20:ZNF485"
"ZNF671","LTR","ERVL-MaLR","MSTA",4.36164347413,"MSTA:ZNF671"
"ZNF671","LINE","L1","L1M4b",15.2902999681,"L1M4b:ZNF671"
"ZNF671","LTR","ERV1","LTR10F",77.5650899767,"LTR10F:ZNF671"
"ZNF671","LTR","ERVL","MLT2B3",63.4790164673,"MLT2B3:ZNF671"
"ZNF671","LTR","ERVK","LTR13_",1.39102582519,"LTR13_:ZNF671"
"ZNF671","LTR","ERV1","Harlequin-int",1.75105883827,"Harlequin-int:ZNF671"
"ZNF671","LTR","ERVL","ERVL-B4-int",1.72602246314,"ERVL-B4-int:ZNF671"
"ZNF671","LTR","ERVL","HERVL-int",57.7395108784,"HERVL-int:ZNF671"
"ZNF614","SINE","Alu","AluSg4",1.54577110089,"AluSg4:ZNF614"
"ZNF614","LINE","L1","L1MEc",9.43183956457,"L1MEc:ZNF614"
"ZNF614","LINE","L1","L1MCa",6.60730388639,"L1MCa:ZNF614"
"ZNF614","LINE","L1","L1ME1",1.75102269181,"L1ME1:ZNF614"
"ZNF614","LINE","L1","L1MEd",1.95750074626,"L1MEd:ZNF614"
"ZNF614","LTR","ERV1","LTR10C",1.80678663289,"LTR10C:ZNF614"
"ZNF614","LTR","ERVL","MLT2B3",107.683379814,"MLT2B3:ZNF614"
"ZNF614","LTR","ERV1","MER66C",1.87338694406,"MER66C:ZNF614"
"ZNF682","LTR","Gypsy","MamGypLTR3",2.88841281295,"MamGypLTR3:ZNF682"
"ZNF682","LTR","ERVL-MaLR","THE1C-int",1.51618940409,"THE1C-int:ZNF682"
"ZNF682","LTR","ERVL-MaLR","THE1B-int",5.61930629196,"THE1B-int:ZNF682"
"ZNF682","LTR","ERV1","MER66A",132.303658487,"MER66A:ZNF682"
"ZNF682","LTR","ERV1","MER66C",195.997671251,"MER66C:ZNF682"
"ZNF682","LTR","ERV1","MER66D",110.178837123,"MER66D:ZNF682"
"ZNF682","LTR","ERV1","MER66B",319.942227513,"MER66B:ZNF682"
"ZNF682","LTR","ERV1","MER41B",8.23151492599,"MER41B:ZNF682"
"ZNF682","LTR","ERVL","LTR41",4.02935791696,"LTR41:ZNF682"
"ZNF682","LTR","ERVL","LTR41B",5.94146256736,"LTR41B:ZNF682"
"ZNF682","LTR","ERVL","LTR50",1.82290465735,"LTR50:ZNF682"
"ZNF124","LTR","ERV1","LTR10E",3.15323859726,"LTR10E:ZNF124"
"ZNF124","LTR","ERV1","LOR1a",243.150513525,"LOR1a:ZNF124"
"ZNF124","LTR","ERV1","LOR1b",319.942227513,"LOR1b:ZNF124"
"ZNF124","LTR","ERVK","LTR13_",28.1809273011,"LTR13_:ZNF124"
"ZNF124","LTR","ERVL-MaLR","THE1C-int",2.72068421893,"THE1C-int:ZNF124"
"ZNF124","LTR","ERVL-MaLR","MSTA-int",1.34720677034,"MSTA-int:ZNF124"
"ZNF124","LTR","ERVK","LTR14A",1.85912396679,"LTR14A:ZNF124"
"ZKSCAN5","DNA","hAT-Charlie","MER1A",1.45282605854,"MER1A:ZKSCAN5"
"ZKSCAN5","LTR","ERVL-MaLR","MSTB1",2.36305764704,"MSTB1:ZKSCAN5"
"ZKSCAN5","LTR","ERVL-MaLR","MSTB",2.70539569862,"MSTB:ZKSCAN5"
"ZKSCAN5","LTR","ERV1","HERVIP10FH-int",7.66204282566,"HERVIP10FH-int:ZKSCAN5"
"ZKSCAN5","LTR","ERVK","LTR14B",4.47738028604,"LTR14B:ZKSCAN5"
"ZKSCAN5","LINE","L2","L2a",3.06163573208,"L2a:ZKSCAN5"
"ZNF558","LINE","L1","L1MB4",2.58437625604,"L1MB4:ZNF558"
"ZNF558","LINE","L1","L1M4c",6.67294797708,"L1M4c:ZNF558"
"ZNF558","LINE","L1","L1MDa",2.83094786736,"L1MDa:ZNF558"
"ZNF558","LINE","L1","L1MCc",2.35824125262,"L1MCc:ZNF558"
"ZNF558","LINE","L1","L1MEf",8.17608061577,"L1MEf:ZNF558"
