"count","group"
37876,"cluster1"
44323,"cluster1"
49582,"cluster1"
43296,"cluster1"
48544,"cluster1"
44308,"cluster1"
42202,"cluster1"
40328,"cluster1"
44764,"cluster1"
48766,"cluster1"
43480,"cluster1"
45302,"cluster1"
44392,"cluster1"
46283,"cluster1"
44842,"cluster1"
40106,"cluster1"
47409,"cluster1"
41285,"cluster1"
44533,"cluster1"
44367,"cluster1"
38639,"cluster1"
47315,"cluster1"
39991,"cluster1"
43575,"cluster1"
44055,"cluster1"
46663,"cluster1"
39336,"cluster1"
45476,"cluster1"
40004,"cluster1"
46565,"cluster1"
35658,"cluster1"
37500,"cluster1"
47904,"cluster1"
43006,"cluster1"
43608,"cluster1"
57162,"cluster1"
47632,"cluster1"
46949,"cluster1"
47001,"cluster1"
56203,"cluster1"
37833,"cluster1"
44189,"cluster1"
51341,"cluster1"
51550,"cluster1"
47653,"cluster1"
41561,"cluster1"
47178,"cluster1"
43746,"cluster1"
43583,"cluster1"
44135,"cluster1"
41598,"cluster1"
54068,"cluster1"
52512,"cluster1"
45766,"cluster1"
37735,"cluster1"
48083,"cluster1"
44886,"cluster1"
41902,"cluster1"
38486,"cluster1"
42026,"cluster1"
49539,"cluster1"
39411,"cluster1"
44211,"cluster1"
42223,"cluster1"
39100,"cluster1"
42006,"cluster1"
43746,"cluster1"
42201,"cluster1"
46680,"cluster1"
50830,"cluster1"
35693,"cluster1"
40694,"cluster1"
36735,"cluster1"
38015,"cluster1"
48177,"cluster1"
42264,"cluster1"
39437,"cluster1"
38100,"cluster1"
46530,"cluster1"
46380,"cluster1"
53134,"cluster1"
45519,"cluster1"
41436,"cluster1"
40013,"cluster1"
42333,"cluster1"
41837,"cluster1"
43633,"cluster1"
33343,"cluster1"
41644,"cluster1"
45394,"cluster1"
42207,"cluster1"
36697,"cluster1"
44782,"cluster1"
41510,"cluster1"
37438,"cluster1"
43222,"cluster1"
43260,"cluster1"
43535,"cluster1"
37523,"cluster1"
44664,"cluster1"
49066,"cluster1"
48895,"cluster1"
35505,"cluster1"
38899,"cluster1"
40670,"cluster1"
37945,"cluster1"
43951,"cluster1"
39203,"cluster1"
43483,"cluster1"
39096,"cluster1"
39609,"cluster1"
48235,"cluster1"
41112,"cluster1"
45638,"cluster1"
43010,"cluster1"
38483,"cluster1"
46663,"cluster1"
36800,"cluster1"
36950,"cluster1"
43074,"cluster1"
39104,"cluster1"
42615,"cluster1"
50327,"cluster1"
41979,"cluster1"
58581,"cluster1"
49100,"cluster1"
40966,"cluster1"
37348,"cluster1"
38974,"cluster1"
36301,"cluster1"
44591,"cluster1"
51337,"cluster1"
39472,"cluster1"
48118,"cluster1"
41289,"cluster1"
45410,"cluster1"
39022,"cluster1"
39484,"cluster1"
57712,"cluster1"
48262,"cluster1"
36803,"cluster1"
49633,"cluster1"
43343,"cluster1"
45557,"cluster1"
39731,"cluster1"
43593,"cluster1"
39562,"cluster1"
47270,"cluster1"
47088,"cluster1"
37951,"cluster1"
42354,"cluster1"
46247,"cluster1"
32169,"cluster1"
41907,"cluster1"
48014,"cluster1"
44815,"cluster1"
42641,"cluster1"
46120,"cluster1"
42956,"cluster1"
40848,"cluster1"
37529,"cluster1"
43473,"cluster1"
44820,"cluster1"
45228,"cluster1"
49981,"cluster1"
42518,"cluster1"
37315,"cluster1"
50242,"cluster1"
46099,"cluster1"
46022,"cluster1"
47403,"cluster1"
42560,"cluster1"
46608,"cluster1"
45895,"cluster1"
51143,"cluster1"
48688,"cluster1"
43468,"cluster1"
40959,"cluster1"
49756,"cluster1"
47639,"cluster1"
42013,"cluster1"
42411,"cluster1"
42390,"cluster1"
45322,"cluster1"
48610,"cluster1"
46439,"cluster1"
49322,"cluster1"
46683,"cluster1"
45830,"cluster1"
39974,"cluster1"
37944,"cluster1"
43005,"cluster1"
39414,"cluster1"
34568,"cluster1"
51265,"cluster1"
50593,"cluster1"
39705,"cluster1"
39244,"cluster1"
46060,"cluster1"
47610,"cluster1"
40745,"cluster1"
42551,"cluster1"
41957,"cluster1"
40358,"cluster1"
41680,"cluster1"
42010,"cluster1"
42888,"cluster1"
39436,"cluster1"
44670,"cluster1"
37538,"cluster1"
46394,"cluster1"
42369,"cluster1"
49381,"cluster1"
45613,"cluster1"
47361,"cluster1"
32511,"cluster1"
48364,"cluster1"
48855,"cluster1"
36764,"cluster1"
42661,"cluster1"
40056,"cluster1"
44840,"cluster1"
49022,"cluster1"
41868,"cluster1"
41568,"cluster1"
47495,"cluster1"
40540,"cluster1"
49990,"cluster1"
41733,"cluster1"
45339,"cluster1"
44692,"cluster1"
39437,"cluster1"
44006,"cluster1"
41456,"cluster1"
47138,"cluster1"
46925,"cluster1"
36981,"cluster1"
47546,"cluster1"
42285,"cluster1"
35640,"cluster1"
46906,"cluster1"
42077,"cluster1"
46356,"cluster1"
47459,"cluster1"
45496,"cluster1"
41954,"cluster1"
49326,"cluster1"
44196,"cluster1"
44198,"cluster1"
45928,"cluster1"
35682,"cluster1"
40119,"cluster1"
59030,"cluster1"
41670,"cluster1"
39781,"cluster1"
47970,"cluster1"
41419,"cluster1"
39620,"cluster1"
47642,"cluster1"
38493,"cluster1"
40370,"cluster1"
37542,"cluster1"
35248,"cluster1"
43093,"cluster1"
40232,"cluster1"
45251,"cluster1"
45309,"cluster1"
44488,"cluster1"
43134,"cluster1"
42705,"cluster1"
40885,"cluster1"
42128,"cluster1"
47993,"cluster1"
44608,"cluster1"
47635,"cluster1"
39519,"cluster1"
48650,"cluster1"
45570,"cluster1"
47473,"cluster1"
49270,"cluster1"
37851,"cluster1"
43970,"cluster1"
43512,"cluster1"
50961,"cluster1"
39616,"cluster1"
41992,"cluster1"
41798,"cluster1"
47885,"cluster1"
43071,"cluster1"
40831,"cluster1"
43881,"cluster1"
40222,"cluster1"
43581,"cluster1"
42281,"cluster1"
35075,"cluster1"
47091,"cluster1"
35036,"cluster1"
54062,"cluster1"
43876,"cluster1"
38515,"cluster1"
36226,"cluster1"
44085,"cluster1"
46188,"cluster1"
42941,"cluster1"
38711,"cluster1"
40332,"cluster1"
39144,"cluster1"
35221,"cluster1"
45798,"cluster1"
59988,"cluster1"
32364,"cluster1"
39575,"cluster1"
43503,"cluster1"
45319,"cluster1"
50707,"cluster1"
47435,"cluster1"
51607,"cluster1"
41992,"cluster1"
40846,"cluster1"
45391,"cluster1"
44817,"cluster1"
45022,"cluster1"
47763,"cluster1"
