"geneName","teName","coef","pair","group","age","teFamily","znfAge","teAge"
"ZNF506","AluJb",0.609091540007698,"AluJb:ZNF506","positive","young","Alu","young","old"
"ZNF506","AluJo",0.534685829835291,"AluJo:ZNF506","positive","young","Alu","young","old"
"ZNF506","AluJr",0.543216041080609,"AluJr:ZNF506","positive","young","Alu","young","old"
"ZNF506","AluSz",0.634038371420305,"AluSz:ZNF506","positive","young","Alu","young","old"
"ZNF671","ERVL-B4-int",0.658567002965532,"ERVL-B4-int:ZNF671","positive","old","ERVL","old","old"
"ZNF671","HERVL-int",0.59615694863963,"HERVL-int:ZNF671","positive","old","ERVL","old","old"
"ZNF671","L1M4b",-0.667830196668954,"L1M4b:ZNF671","negative","old","L1","old","old"
"ZNF671","LTR13",0.664106266983956,"LTR13:ZNF671","positive","young","ERVK","old","young"
"ZNF671","MSTA",0.652319412886371,"MSTA:ZNF671","positive","young","ERVL-MaLR","old","young"
"ZNF264","MLT1A0",0.554975188243439,"MLT1A0:ZNF264","positive","old","ERVL-MaLR","old","old"
"ZNF419","HERVK22-int",0.627556596916077,"HERVK22-int:ZNF419","positive","old","ERVK","old","old"
"ZNF430","THE1A",-0.64703832026759,"THE1A:ZNF430","negative","young","ERVL-MaLR","young","young"
"ZNF430","THE1B",-0.596623862877597,"THE1B:ZNF430","negative","young","ERVL-MaLR","young","young"
"ZNF430","THE1D",-0.585469041965783,"THE1D:ZNF430","negative","young","ERVL-MaLR","young","young"
"ZNF133","L1M4b",-0.584134712543171,"L1M4b:ZNF133","negative","old","L1","old","old"
"ZNF133","L1MA3",-0.539726185570433,"L1MA3:ZNF133","negative","old","L1","old","old"
"ZNF484","L1MC5",0.635928020503097,"L1MC5:ZNF484","positive","old","L1","old","old"
"ZNF337","L1M2",-0.603852845124889,"L1M2:ZNF337","negative","young","L1","young","old"
"ZNF337","L1M2c",-0.711365852198918,"L1M2c:ZNF337","negative","young","L1","young","old"
"ZNF337","L1M4",-0.644016338037428,"L1M4:ZNF337","negative","young","L1","young","old"
"ZNF337","L1M4c",-0.773099279765502,"L1M4c:ZNF337","negative","young","L1","young","old"
"ZNF337","L1MA5",-0.657953010890858,"L1MA5:ZNF337","negative","young","L1","young","old"
"ZNF337","L1PBa",-0.602795120452516,"L1PBa:ZNF337","negative","young","L1","young","old"
"ZNF337","MER54A",0.655893343410571,"MER54A:ZNF337","positive","young","ERVL","young","old"
"ZNF317","HAL1",-0.579526983559608,"HAL1:ZNF317","negative","old","L1","old","old"
"ZNF317","L1M4c",-0.586944272234022,"L1M4c:ZNF317","negative","old","L1","old","old"
"ZNF317","L1MDa",-0.587865991432706,"L1MDa:ZNF317","negative","old","L1","old","old"
"ZNF317","L1MEd",-0.632104760159589,"L1MEd:ZNF317","negative","old","L1","old","old"
"ZNF317","L1MEf",-0.591122422423496,"L1MEf:ZNF317","negative","old","L1","old","old"
"ZNF317","L1MEg",-0.608062275651252,"L1MEg:ZNF317","negative","old","L1","old","old"
"ZNF317","L1P2",-0.567914802444338,"L1P2:ZNF317","negative","old","L1","old","old"
"ZNF317","LTR55",0.565925738638259,"LTR55:ZNF317","positive","old","ERV","old","old"
"ZNF331","MLT1F1",0.745402007502001,"MLT1F1:ZNF331","positive","old","ERVL-MaLR","old","old"
"ZNF331","MLT1F",0.702787858980018,"MLT1F:ZNF331","positive","old","ERVL-MaLR","old","old"
"ZNF331","MLT1G1",0.692399368578494,"MLT1G1:ZNF331","positive","old","ERVL-MaLR","old","old"
"ZNF331","MLT1G3",0.776600893385729,"MLT1G3:ZNF331","positive","old","ERVL-MaLR","old","old"
"ZNF331","MLT1G",0.723287190884978,"MLT1G:ZNF331","positive","old","ERVL-MaLR","old","old"
"ZNF331","MLT1H1",0.669329942744827,"MLT1H1:ZNF331","positive","old","ERVL-MaLR","old","old"
"ZNF331","MLT1H2",0.743033864009278,"MLT1H2:ZNF331","positive","old","ERVL-MaLR","old","old"
"ZNF331","MLT1H",0.745779681710166,"MLT1H:ZNF331","positive","old","ERVL-MaLR","old","old"
"ZNF141","HUERS-P3-int",-0.591670549614857,"HUERS-P3-int:ZNF141","negative","young","ERV1","young","old"
"ZNF141","HUERS-P3b-int",-0.654787254755319,"HUERS-P3b-int:ZNF141","negative","young","ERV1","young","old"
"ZNF141","L1M2c",0.604727823031885,"L1M2c:ZNF141","positive","young","L1","young","old"
"ZNF141","LTR13",-0.621480621365736,"LTR13:ZNF141","negative","young","ERVK","young","young"
"ZNF141","MER11D",-0.634267347001249,"MER11D:ZNF141","negative","young","ERVK","young","young"
"ZNF304","LTR8A",0.766606266441957,"LTR8A:ZNF304","positive","young","ERV1","old","young"
"ZNF304","MLT1E1",0.690483741770935,"MLT1E1:ZNF304","positive","old","ERVL-MaLR","old","old"
"ZNF304","MLT1E1A",0.555678635759475,"MLT1E1A:ZNF304","positive","old","ERVL-MaLR","old","old"
"ZNF304","MLT1E2",0.620273420875439,"MLT1E2:ZNF304","positive","old","ERVL-MaLR","old","old"
"ZNF304","MLT1F1",0.809225336424832,"MLT1F1:ZNF304","positive","old","ERVL-MaLR","old","old"
"ZNF304","MLT1F2",0.776036180570555,"MLT1F2:ZNF304","positive","old","ERVL-MaLR","old","old"
"ZNF304","MLT1F",0.750951276113361,"MLT1F:ZNF304","positive","old","ERVL-MaLR","old","old"
"ZNF304","MLT1G3",0.807218414840336,"MLT1G3:ZNF304","positive","old","ERVL-MaLR","old","old"
"ZNF304","MLT1H1",0.695833801796678,"MLT1H1:ZNF304","positive","old","ERVL-MaLR","old","old"
"ZNF132","LTR16B",0.620384620319825,"LTR16B:ZNF132","positive","old","ERVL","old","old"
"ZNF300","AluYc",0.592383393577344,"AluYc:ZNF300","positive","old","Alu","old","old"
"ZNF157","LTR28",0.645489335605122,"LTR28:ZNF157","positive","young","ERV1","old","young"
"ZNF776","MSTA",0.715811860873244,"MSTA:ZNF776","positive","young","ERVL-MaLR","young","young"
"ZNF776","MSTB1",0.741691432389115,"MSTB1:ZNF776","positive","young","ERVL-MaLR","young","old"
"ZNF776","MSTB",0.658370975722836,"MSTB:ZNF776","positive","young","ERVL-MaLR","young","young"
"ZNF714","LTR13",-0.700920078452537,"LTR13:ZNF714","negative","young","ERVK","young","young"
"ZNF714","LTR50",-0.70387250257246,"LTR50:ZNF714","negative","young","ERVL","young","old"
"ZNF714","MER61E",-0.662803866421496,"MER61E:ZNF714","negative","young","ERV1","young","young"
"ZNF382","L1HS",-0.554068380190601,"L1HS:ZNF382","negative","old","L1","old","old"
"ZNF382","L1M1",-0.70459339108116,"L1M1:ZNF382","negative","old","L1","old","old"
"ZNF382","L1M2",-0.624714614357038,"L1M2:ZNF382","negative","old","L1","old","old"
"ZNF382","L1M3",-0.644044303232521,"L1M3:ZNF382","negative","old","L1","old","old"
"ZNF382","L1M4c",-0.723200909854152,"L1M4c:ZNF382","negative","old","L1","old","old"
"ZNF382","L1MA2",-0.630536779563582,"L1MA2:ZNF382","negative","old","L1","old","old"
"ZNF382","L1MA3",-0.663307121854516,"L1MA3:ZNF382","negative","old","L1","old","old"
"ZNF382","L1MA4",-0.635078474008649,"L1MA4:ZNF382","negative","old","L1","old","old"
"ZNF382","L1MA4A",-0.568885233746257,"L1MA4A:ZNF382","negative","old","L1","old","old"
"ZNF382","L1MA5",-0.63026588457422,"L1MA5:ZNF382","negative","old","L1","old","old"
"ZNF382","L1MA8",-0.550015238313788,"L1MA8:ZNF382","negative","old","L1","old","old"
"ZNF382","L1MCa",-0.758834003486513,"L1MCa:ZNF382","negative","old","L1","old","old"
"ZNF382","L1MD",-0.572941390235741,"L1MD:ZNF382","negative","old","L1","old","old"
"ZNF382","L1MDa",-0.740532150505613,"L1MDa:ZNF382","negative","old","L1","old","old"
"ZNF382","L1MEc",-0.708396765790821,"L1MEc:ZNF382","negative","old","L1","old","old"
"ZNF382","L1MEf",-0.663998391649454,"L1MEf:ZNF382","negative","old","L1","old","old"
"ZNF382","L1MEg",-0.56714778141185,"L1MEg:ZNF382","negative","old","L1","old","old"
"ZNF382","L1P1",-0.575853551489519,"L1P1:ZNF382","negative","old","L1","old","old"
"ZNF382","L1P2",-0.623088483617368,"L1P2:ZNF382","negative","old","L1","old","old"
"ZNF382","L1P3",-0.675534473121332,"L1P3:ZNF382","negative","old","L1","old","old"
"ZNF382","L1PA15",-0.539246223299243,"L1PA15:ZNF382","negative","old","L1","old","old"
"ZNF382","L1PA6",-0.54507477529288,"L1PA6:ZNF382","negative","old","L1","old","old"
"ZNF382","L1PA7",-0.647240489880825,"L1PA7:ZNF382","negative","old","L1","old","old"
"ZNF382","L1PA8A",-0.587504630680153,"L1PA8A:ZNF382","negative","old","L1","old","old"
"ZNF382","L1PB1",-0.629172937117221,"L1PB1:ZNF382","negative","old","L1","old","old"
"ZNF382","L1PBa",-0.703162309117434,"L1PBa:ZNF382","negative","old","L1","old","old"
"ZNF382","MamGypLTR3",0.69046009323823,"MamGypLTR3:ZNF382","positive","old","Gypsy","old","old"
"PRDM9","L1PBa1",0.645855502528218,"L1PBa1:PRDM9","positive","old","L1","old","old"
"PRDM9","MER52-int",0.623504272378637,"MER52-int:PRDM9","positive","old","ERV1","old","old"
"ZNF12","MLT1A0",0.728793089773844,"MLT1A0:ZNF12","positive","old","ERVL-MaLR","old","old"
"ZNF12","MLT1A",0.667986234209743,"MLT1A:ZNF12","positive","old","ERVL-MaLR","old","old"
"ZNF12","MLT1B",0.726490255332236,"MLT1B:ZNF12","positive","old","ERVL-MaLR","old","old"
"ZNF12","MLT1D",0.68329267612353,"MLT1D:ZNF12","positive","old","ERVL-MaLR","old","old"
"ZNF12","MLT1H",0.701415634150508,"MLT1H:ZNF12","positive","old","ERVL-MaLR","old","old"
"ZNF12","MLT1I",0.693455316184541,"MLT1I:ZNF12","positive","old","ERVL-MaLR","old","old"
"ZNF12","MLT1J1",0.685240573076158,"MLT1J1:ZNF12","positive","old","ERVL-MaLR","old","old"
"ZNF12","MLT1J2",0.731616474521177,"MLT1J2:ZNF12","positive","old","ERVL-MaLR","old","old"
"ZNF12","MLT1J",0.698366550003285,"MLT1J:ZNF12","positive","old","ERVL-MaLR","old","old"
"ZNF180","Charlie8",0.789431832241505,"Charlie8:ZNF180","positive","old","hAT-Charlie","old","old"
"ZNF180","MER102c",0.757242035362794,"MER102c:ZNF180","positive","old","hAT-Charlie","old","old"
