"positive_count","negative_count","label"
23440,14436,"hm_cluster1"
27573,16750,"hm_cluster1"
29166,20416,"hm_cluster1"
28258,15038,"hm_cluster1"
29394,19150,"hm_cluster1"
27024,17284,"hm_cluster1"
26855,15347,"hm_cluster1"
23781,16547,"hm_cluster1"
27122,17642,"hm_cluster1"
29257,19509,"hm_cluster1"
26480,17000,"hm_cluster1"
28327,16975,"hm_cluster1"
28726,15666,"hm_cluster1"
27717,18566,"hm_cluster1"
27380,17462,"hm_cluster1"
22559,17547,"hm_cluster1"
27464,19945,"hm_cluster1"
24216,17069,"hm_cluster1"
29102,15431,"hm_cluster1"
27505,16862,"hm_cluster1"
26594,12045,"hm_cluster1"
27914,19401,"hm_cluster1"
26221,13770,"hm_cluster1"
28644,14931,"hm_cluster1"
27704,16351,"hm_cluster1"
29081,17582,"hm_cluster1"
23580,15756,"hm_cluster1"
29549,15927,"hm_cluster1"
26227,13777,"hm_cluster1"
29025,17540,"hm_cluster1"
22214,13444,"hm_cluster1"
23255,14245,"hm_cluster1"
28874,19030,"hm_cluster1"
26142,16864,"hm_cluster1"
27274,16334,"hm_cluster1"
33136,24026,"hm_cluster1"
30967,16665,"hm_cluster1"
29616,17333,"hm_cluster1"
27465,19536,"hm_cluster1"
33936,22267,"hm_cluster1"
25170,12663,"hm_cluster1"
26306,17883,"hm_cluster1"
34044,17297,"hm_cluster1"
31008,20542,"hm_cluster1"
27113,20540,"hm_cluster1"
24602,16959,"hm_cluster1"
28278,18900,"hm_cluster1"
25891,17855,"hm_cluster1"
30402,13181,"hm_cluster1"
25213,18922,"hm_cluster1"
25217,16381,"hm_cluster1"
32752,21316,"hm_cluster1"
32661,19851,"hm_cluster1"
27476,18290,"hm_cluster1"
25966,11769,"hm_cluster1"
31351,16732,"hm_cluster1"
28805,16081,"hm_cluster1"
25133,16769,"hm_cluster1"
25367,13119,"hm_cluster1"
25400,16626,"hm_cluster1"
31128,18411,"hm_cluster1"
25325,14086,"hm_cluster1"
28878,15333,"hm_cluster1"
25673,16550,"hm_cluster1"
24993,14107,"hm_cluster1"
25795,16211,"hm_cluster1"
30183,13563,"hm_cluster1"
25523,16678,"hm_cluster1"
28110,18570,"hm_cluster1"
33228,17602,"hm_cluster1"
21708,13985,"hm_cluster1"
26118,14576,"hm_cluster1"
21776,14959,"hm_cluster1"
22524,15491,"hm_cluster1"
29899,18278,"hm_cluster1"
25600,16664,"hm_cluster1"
24042,15395,"hm_cluster1"
24384,13716,"hm_cluster1"
29987,16543,"hm_cluster1"
26262,20118,"hm_cluster1"
34837,18297,"hm_cluster1"
28260,17259,"hm_cluster1"
27771,13665,"hm_cluster1"
26536,13477,"hm_cluster1"
25982,16351,"hm_cluster1"
26917,14920,"hm_cluster1"
28510,15123,"hm_cluster1"
21632,11711,"hm_cluster1"
27178,14466,"hm_cluster1"
26856,18538,"hm_cluster1"
25346,16861,"hm_cluster1"
22304,14393,"hm_cluster1"
26885,17897,"hm_cluster1"
