"label","group","count"
"cbe_control","positive",5375
"cbe_control","negative",3665
"cbe_control","all",9040
"cbe_control","positive",5948
"cbe_control","negative",3645
"cbe_control","all",9593
"cbe_control","positive",6078
"cbe_control","negative",4172
"cbe_control","all",10250
"cbe_control","positive",5145
"cbe_control","negative",3639
"cbe_control","all",8784
"cbe_control","positive",5165
"cbe_control","negative",3238
"cbe_control","all",8403
"cbe_control","positive",6297
"cbe_control","negative",3760
"cbe_control","all",10057
"cbe_control","positive",4765
"cbe_control","negative",3084
"cbe_control","all",7849
"cbe_control","positive",6011
"cbe_control","negative",3869
"cbe_control","all",9880
"cbe_control","positive",5359
"cbe_control","negative",3716
"cbe_control","all",9075
"cbe_control","positive",5490
"cbe_control","negative",3411
"cbe_control","all",8901
"cbe_control","positive",5442
"cbe_control","negative",3393
"cbe_control","all",8835
"cbe_control","positive",4754
"cbe_control","negative",3057
"cbe_control","all",7811
"cbe_control","positive",5096
"cbe_control","negative",3026
"cbe_control","all",8122
"cbe_control","positive",4508
"cbe_control","negative",2767
"cbe_control","all",7275
"cbe_control","positive",6125
"cbe_control","negative",3535
"cbe_control","all",9660
"cbe_control","positive",7174
"cbe_control","negative",4847
"cbe_control","all",12021
"cbe_control","positive",4199
"cbe_control","negative",2455
"cbe_control","all",6654
"cbe_control","positive",5895
"cbe_control","negative",3529
"cbe_control","all",9424
"cbe_control","positive",4710
"cbe_control","negative",3111
"cbe_control","all",7821
"cbe_control","positive",6241
"cbe_control","negative",3876
"cbe_control","all",10117
"cbe_control","positive",5525
"cbe_control","negative",3985
"cbe_control","all",9510
"cbe_control","positive",5766
"cbe_control","negative",3493
"cbe_control","all",9259
"cbe_control","positive",7473
"cbe_control","negative",4710
"cbe_control","all",12183
"cbe_control","positive",6076
"cbe_control","negative",3898
"cbe_control","all",9974
"cbe_control","positive",5105
"cbe_control","negative",3439
"cbe_control","all",8544
"cbe_control","positive",5855
"cbe_control","negative",3669
"cbe_control","all",9524
"cbe_control","positive",5899
"cbe_control","negative",3608
"cbe_control","all",9507
"cbe_control","positive",6180
"cbe_control","negative",4168
"cbe_control","all",10348
"cbe_control","positive",5850
"cbe_control","negative",3469
"cbe_control","all",9319
"cbe_control","positive",4423
"cbe_control","negative",2784
"cbe_control","all",7207
"cbe_control","positive",5038
"cbe_control","negative",3189
"cbe_control","all",8227
"cbe_control","positive",6936
"cbe_control","negative",4674
"cbe_control","all",11610
"cbe_control","positive",6675
"cbe_control","negative",3936
"cbe_control","all",10611
"cbe_control","positive",6590
"cbe_control","negative",4764
"cbe_control","all",11354
"cbe_control","positive",5970
"cbe_control","negative",3801
"cbe_control","all",9771
"cbe_control","positive",5586
"cbe_control","negative",3596
"cbe_control","all",9182
"cbe_control","positive",6082
"cbe_control","negative",4295
"cbe_control","all",10377
"cbe_control","positive",6613
"cbe_control","negative",4155
"cbe_control","all",10768
"cbe_control","positive",6696
"cbe_control","negative",4391
"cbe_control","all",11087
